"filename", "language", "C++", "Dart", "Groovy", "JSON", "Properties", "XML", "Markdown", "HTML", "YAML", "Swift", "comment", "blank", "total"
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\lib\components\general_loader.dart", "Dart", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\lib\components\horizontal_spacer_box.dart", "Dart", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\lib\components\map_info_subtitle.dart", "Dart", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\lib\components\map_info_title.dart", "Dart", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\lib\components\map_inst_screen.dart", "Dart", 0, 162, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 169
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\lib\components\number_form_field.dart", "Dart", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\lib\components\primary_button.dart", "Dart", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 39
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\lib\components\primary_buttonCadastro.dart", "Dart", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 41
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\lib\components\secundary_button.dart", "Dart", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\lib\components\vertical_spacer_box.dart", "Dart", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\lib\constants\constants.dart", "Dart", 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22, 135
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\lib\constants\theme_manager.dart", "Dart", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\lib\core\api.dart", "Dart", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 67
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\lib\core\models\image_model.dart", "Dart", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\lib\core\models\instituicao_model.dart", "Dart", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 54
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\lib\image_control\image_picker.controller.dart", "Dart", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 37
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\lib\main.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\lib\screens\cadastro\cadastro.dart", "Dart", 0, 434, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 447
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\lib\screens\cadastro\cadastro_controller.dart", "Dart", 0, 158, 0, 0, 0, 0, 0, 0, 0, 0, 2, 33, 193
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\lib\screens\home\home_screen.dart", "Dart", 0, 200, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 205
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\lib\screens\mapa\maps.dart", "Dart", 0, 196, 0, 0, 0, 0, 0, 0, 0, 0, 8, 14, 218
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\lib\screens\mapa\maps_controller.dart", "Dart", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 56
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\lib\screens\mapa\maps_repository.dart", "Dart", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 51
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\lib\screens\paulofreire\paulo_freire.dart", "Dart", 0, 357, 0, 0, 0, 0, 0, 0, 0, 0, 7, 4, 368
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\lib\screens\permission\notify.dart", "Dart", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 16, 4, 35
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\lib\screens\splash\splash_controller.dart", "Dart", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 13
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\lib\screens\splash\splash_screen.dart", "Dart", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 33
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\linux\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\linux\my_application.cc", "C++", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
